experiment_id,row_id,input_text,target_formula,target_reduced_formula,target_family,target_space_group_symbol,target_space_group_number,target_crystal_system,expected_mode,expected_validation_tier,source_db_scope,retrieval_query_hint,spp_required,qlip_scaffold_hint,should_generate,expected_blocker_if_any,paper_task,notes
paper_experiment_2_hard_v2,exp2v2_li6ps5cl_argyrodite,Generate an argyrodite-like lithium thiophosphate chloride candidate with formula Li6PS5Cl using retrieved sulfide-halide evidence.,Li6PS5Cl,Li6PS5Cl,argyrodite,F-43m,216,cubic,prototype_orbit_qlip,fixed_orbit_spp_smoke,general_phase6_mp_10k,argyrodite lithium thiophosphate chloride Li6PS5Cl sulfide halide evidence,true,argyrodite,true,,Experiment 2 harder specific intent v2,Supported V3B fixed-orbit target.
paper_experiment_2_hard_v2,exp2v2_lifepo4_olivine,Generate an olivine phosphate candidate for LiFePO4 using retrieved lithium iron phosphate evidence.,LiFePO4,LiFePO4,olivine phosphate,Pnma,62,orthorhombic,prototype_orbit_qlip,fixed_orbit_spp_smoke,general_phase6_mp_10k,olivine phosphate LiFePO4 lithium iron phosphate evidence,true,olivine_phosphate,true,,Experiment 2 harder specific intent v2,Supported V3B fixed-orbit target.
paper_experiment_2_hard_v2,exp2v2_licoo2_layered,Generate a layered lithium cobalt oxide candidate compatible with the requested R-3m prototype.,LiCoO2,LiCoO2,layered oxide,R-3m,166,trigonal,prototype_orbit_qlip,fixed_orbit_spp_smoke,general_phase6_mp_10k,layered lithium cobalt oxide LiCoO2 cathode evidence,true,layered_oxide,true,,Experiment 2 harder specific intent v2,Supported V3B fixed-orbit target.
paper_experiment_2_hard_v2,exp2v2_cspbcl3_halide,Generate a cubic halide perovskite prototype candidate for CsPbCl3 using retrieved chloride perovskite evidence.,CsPbCl3,CsPbCl3,halide perovskite,Pm-3m,221,cubic,prototype_orbit_variable_spp_qlip,variable_spp_scored,general_phase6_mp_10k,CsPbCl3 cesium lead chloride halide perovskite evidence,true,halide_perovskite,true,,Experiment 2 harder specific intent v2,Supported ideal cubic halide-perovskite scaffold; query intent differs from Experiment 1 common-family controls.
paper_experiment_2_hard_v2,exp2v2_cssnbr3_halide,Generate a cesium tin bromide halide perovskite prototype with formula CsSnBr3 using retrieved bromide evidence.,CsSnBr3,CsSnBr3,halide perovskite,Pm-3m,221,cubic,prototype_orbit_variable_spp_qlip,variable_spp_scored,general_phase6_mp_10k,CsSnBr3 cesium tin bromide halide perovskite evidence,true,halide_perovskite,true,,Experiment 2 harder specific intent v2,Supported ideal cubic halide-perovskite scaffold; query intent differs from Experiment 1 common-family controls.
paper_experiment_2_hard_v2,exp2v2_cspbi3_halide,Generate an iodide halide perovskite prototype candidate for CsPbI3 and preserve an explicit retrieval trace.,CsPbI3,CsPbI3,halide perovskite,Pm-3m,221,cubic,prototype_orbit_variable_spp_qlip,variable_spp_scored,general_phase6_mp_10k,CsPbI3 cesium lead iodide halide perovskite evidence,true,halide_perovskite,true,,Experiment 2 harder specific intent v2,Generated as supported ideal cubic prototype rather than source-faithful lower-symmetry Wyckoff reproduction.
paper_experiment_2_hard_v2,exp2v2_cssni3_halide,Generate a cesium tin iodide halide perovskite prototype with formula CsSnI3 using retrieved iodide evidence.,CsSnI3,CsSnI3,halide perovskite,Pm-3m,221,cubic,prototype_orbit_variable_spp_qlip,variable_spp_scored,general_phase6_mp_10k,CsSnI3 cesium tin iodide halide perovskite evidence,true,halide_perovskite,true,,Experiment 2 harder specific intent v2,Supported ideal cubic halide-perovskite scaffold; no energy-based materials claim.
paper_experiment_2_hard_v2,exp2v2_cspbbr3_halide,Generate a cesium lead bromide halide perovskite prototype using Crystal-DB evidence and explicit SPP guidance.,CsPbBr3,CsPbBr3,halide perovskite,Pm-3m,221,cubic,prototype_orbit_variable_spp_qlip,variable_spp_scored,general_phase6_mp_10k,CsPbBr3 cesium lead bromide halide perovskite evidence,true,halide_perovskite,true,,Experiment 2 harder specific intent v2,Supported ideal cubic halide-perovskite scaffold; included here as a harder specific halide query.
paper_experiment_2_hard_v2,exp2v2_coas2_blocked,Attempt a cobalt arsenide CoAs2 safflorite-like structure and report if parameterised Wyckoff scaffold support is unavailable.,CoAs2,CoAs2,safflorite-like arsenide,P2_1/c,14,monoclinic,retrieval_only,retrieval_ready_solver_blocked,general_phase6_mp_10k,cobalt arsenide CoAs2 safflorite arsenide evidence,true,safflorite,false,parameterised Wyckoff scaffold support unavailable for current solver,Experiment 2 unsupported solver audit v2,Blocked honestly per V3B capability audit.
paper_experiment_2_hard_v2,exp2v2_cs2hgbr4_blocked,Attempt a low-symmetry Cs2HgBr4 inorganic halide structure and block if parameterised Wyckoff support is unavailable.,Cs2HgBr4,Cs2HgBr4,low-symmetry inorganic halide candidate,P2_1/c,14,monoclinic,retrieval_only,retrieval_ready_solver_blocked,general_phase6_mp_10k,Cs2HgBr4 inorganic bromide low symmetry halide evidence,true,low_symmetry_halide,false,parameterised Wyckoff scaffold support unavailable for current solver,Experiment 2 unsupported solver audit v2,Blocked honestly per V3B capability audit.
