path,source_sha256,classification,distribution_path,rationale
.gitattributes,1a1dbe176bc233b499d35a57db7513f2941c99ab9759f177830c9149be99005b,INTENTIONALLY_EXCLUDED,,"Repository metadata, not distribution runtime content."
.gitignore,af421df8eeb5dcec1febb22da61dbb9f330dcf7d6cb69c18abcce3324595bb0e,INTENTIONALLY_EXCLUDED,,"Repository metadata, not distribution runtime content."
README.md,8dc48fe8f39462909acd9b1e74be7fd43a9c7aa016c369df97c8b23ddb5e0834,NON_PACKAGE_SOURCE,,"Subproject documentation, explicit-input rule file, helper script, or project metadata; installed runtime uses the packaged modules/console entry points."
docs/DYMTR0_REFERENCE_SPP_CONTRACT.md,926b2b77fea3dde8ac6d09d74e96adb99f71e41a7c70d87a003733e35e1b82c8,NON_PACKAGE_SOURCE,,"Subproject documentation, explicit-input rule file, helper script, or project metadata; installed runtime uses the packaged modules/console entry points."
docs/REQUEST_SCALE_FACTOR_AUDIT.md,620c123569af2d06601f5201e59c3b48597b52f5474d576da1a86766b8649519,NON_PACKAGE_SOURCE,,"Subproject documentation, explicit-input rule file, helper script, or project metadata; installed runtime uses the packaged modules/console entry points."
docs/SPP_BLEND_POLICY.md,95682f26daa488f2f887ca738be04b4d80a1bb86fe6431f57f607c19c0da58bf,NON_PACKAGE_SOURCE,,"Subproject documentation, explicit-input rule file, helper script, or project metadata; installed runtime uses the packaged modules/console entry points."
docs/mcp/API.md,8c4af98cdd149e6724419e91994d1343c48a0e08937fc2f9c68d5482e44ff2f7,NON_PACKAGE_SOURCE,,"Subproject documentation, explicit-input rule file, helper script, or project metadata; installed runtime uses the packaged modules/console entry points."
docs/spp_pair_extraction_audit.md,bd08ba73cfe68a65defb5934e2ad59ca6bfbac62d5ce04f15dbc52e9acc7116c,NON_PACKAGE_SOURCE,,"Subproject documentation, explicit-input rule file, helper script, or project metadata; installed runtime uses the packaged modules/console entry points."
project_context.txt,53158f39c1efaf40fce46ead309f20de13fd3a66e936a9f9728f97198522aa82,NON_PACKAGE_SOURCE,,"Subproject documentation, explicit-input rule file, helper script, or project metadata; installed runtime uses the packaged modules/console entry points."
project_to_txt.py,551fcd72127e73aaddbca7984db8ebca3130c0f9dccca82670443431cd3da943,NON_PACKAGE_SOURCE,,"Subproject documentation, explicit-input rule file, helper script, or project metadata; installed runtime uses the packaged modules/console entry points."
pyproject.toml,1a647c851cbebf113f5efc7952888deaea473a805fbbbec066387601a7ee65a7,NON_PACKAGE_SOURCE,,"Subproject documentation, explicit-input rule file, helper script, or project metadata; installed runtime uses the packaged modules/console entry points."
rules/covalent_rules.yaml,0a8c9aa7a4a2699f7425665fdb4bf23659db0c7122ebd91d094e03715ae5ae94,NON_PACKAGE_SOURCE,,"Subproject documentation, explicit-input rule file, helper script, or project metadata; installed runtime uses the packaged modules/console entry points."
scripts/check_pot_compat.py,46f46a653df38ff26d274db26bd0efd5ab58b77b115fb1fcd40943a39e84f708,NON_PACKAGE_SOURCE,,"Subproject documentation, explicit-input rule file, helper script, or project metadata; installed runtime uses the packaged modules/console entry points."
scripts/demo_property_conditioned_spp.py,9d89733d506b64a7ae30bd99cf946a5ce47fd254598226fac50a6fbfda258a9b,NON_PACKAGE_SOURCE,,"Subproject documentation, explicit-input rule file, helper script, or project metadata; installed runtime uses the packaged modules/console entry points."
scripts/diagnose_pair_extraction.py,ef54be75ad52b076cc43942b077bdcfcdb92afb7c0ec27f0bf11da76eac045ab,NON_PACKAGE_SOURCE,,"Subproject documentation, explicit-input rule file, helper script, or project metadata; installed runtime uses the packaged modules/console entry points."
scripts/mp_phaseA_build_corpus.py,5da7adb0c91f230de686ec05eebbf850b034cee78bf12ece1f36e90259f9cd16,NON_PACKAGE_SOURCE,,"Subproject documentation, explicit-input rule file, helper script, or project metadata; installed runtime uses the packaged modules/console entry points."
scripts/plot_gr_dump.py,393d8f3ef1b34520ec1091e455b41452f555555d22e2d114f7db54e028acb965,NON_PACKAGE_SOURCE,,"Subproject documentation, explicit-input rule file, helper script, or project metadata; installed runtime uses the packaged modules/console entry points."
scripts/print_qlip_snippet.py,93e18d47cadd16d648411a9fa01331a249757c5f277d1909288816a843fdbe80,NON_PACKAGE_SOURCE,,"Subproject documentation, explicit-input rule file, helper script, or project metadata; installed runtime uses the packaged modules/console entry points."
scripts/probe_mcp_run_pipeline.py,98ae0a5a40eb3ac1e3ead3d1611db09cbcf898ccd8ed9e47d72467750e581000,NON_PACKAGE_SOURCE,,"Subproject documentation, explicit-input rule file, helper script, or project metadata; installed runtime uses the packaged modules/console entry points."
scripts/publish_qlip_outputs.py,202dd30807a832d6034658b17cbbdc630451541625597eea298d8d7455d583d2,NON_PACKAGE_SOURCE,,"Subproject documentation, explicit-input rule file, helper script, or project metadata; installed runtime uses the packaged modules/console entry points."
scripts/qlip_outputs_list.py,ca39ca2954826a3555b3e0f7de57befe18467e576ba4594d86adb14b252843b9,NON_PACKAGE_SOURCE,,"Subproject documentation, explicit-input rule file, helper script, or project metadata; installed runtime uses the packaged modules/console entry points."
src/spp_maker/__init__.py,8404ac9c5a556c61c1e1fe9971d9ff6a42d53943d3e499fc4b0d96d518e09df5,IN_WHEEL,spp_maker/__init__.py,Operational Python package source is present in both wheel and sdist.
src/spp_maker/boundary.py,41adf8c1ea2dc738e333744cbc4db5ce22eb0a5861b5fbc549eaff51cce3e679,IN_WHEEL,spp_maker/boundary.py,Operational Python package source is present in both wheel and sdist.
src/spp_maker/calibration.py,68f7d7a94f4faa8b1dd998970562d5118e4a294e4c4294e48a922655a3e53afe,IN_WHEEL,spp_maker/calibration.py,Operational Python package source is present in both wheel and sdist.
src/spp_maker/cli.py,e6adeb3dbcde26e53b88bc49959788e8c955d1baace3e2410ff0637732f4354d,IN_WHEEL,spp_maker/cli.py,Operational Python package source is present in both wheel and sdist.
src/spp_maker/common_contract.py,88ce063a6a48f285942239ca09d5b627e2fce5ff22e77a2153638d52c682f0bb,IN_WHEEL,spp_maker/common_contract.py,Operational Python package source is present in both wheel and sdist.
src/spp_maker/covalent_filter.py,576f281a838bcf561c667c9ffcaaa2c4c4a0d1d737fa318252cebf297efef862,IN_WHEEL,spp_maker/covalent_filter.py,Operational Python package source is present in both wheel and sdist.
src/spp_maker/export.py,560bed38506bf2e61247df31bc6dcd7325aa2a1cf55fd9aa3e8fb3b23ac47507,IN_WHEEL,spp_maker/export.py,Operational Python package source is present in both wheel and sdist.
src/spp_maker/fit_hist.py,12951af25778a9aa87978a3da22d50aea76bd6510de7d1157c76ad49246c245d,IN_WHEEL,spp_maker/fit_hist.py,Operational Python package source is present in both wheel and sdist.
src/spp_maker/fit_phi.py,d0d372c8daf6f3b56824ee731236d68195612e6700059957848535f389e54c43,IN_WHEEL,spp_maker/fit_phi.py,Operational Python package source is present in both wheel and sdist.
src/spp_maker/gr_dump.py,0811a9b170dbca82c57bde76aaedd0548afb6d15d15ea5bebe10ca466e4e92d7,IN_WHEEL,spp_maker/gr_dump.py,Operational Python package source is present in both wheel and sdist.
src/spp_maker/io_cif.py,af600d8a60db541d7a52a8db3e404b652d456f445135e6d12b560ad5ef486e6d,IN_WHEEL,spp_maker/io_cif.py,Operational Python package source is present in both wheel and sdist.
src/spp_maker/meta_csv.py,0c402a428197d493301d7f07682ad3eebcc9083bd0cec070fa56c5af4597402f,IN_WHEEL,spp_maker/meta_csv.py,Operational Python package source is present in both wheel and sdist.
src/spp_maker/neighbors.py,7dcea4dca7d71ee8169d0cdb089a5c2f7edb082c11bebdb1e8c56dd91702a18b,IN_WHEEL,spp_maker/neighbors.py,Operational Python package source is present in both wheel and sdist.
src/spp_maker/pot_compat.py,f62b42871eeaa1c831db145186be79f778757b50bb91a966ddc5aa00b3b02fb3,IN_WHEEL,spp_maker/pot_compat.py,Operational Python package source is present in both wheel and sdist.
src/spp_maker/pot_io.py,96b2ade9376d3b736749e096792bbeccf2f32614ed6bf73c3f0e63f0a5f437f5,IN_WHEEL,spp_maker/pot_io.py,Operational Python package source is present in both wheel and sdist.
src/spp_maker/publish.py,b84e0b503134c7a1b23fec8e019987ee09aa400e99e191e297085a41a441b3e7,IN_WHEEL,spp_maker/publish.py,Operational Python package source is present in both wheel and sdist.
src/spp_maker/qlip_outputs_index.py,5b980877579bce0d40f918e3d200d8b51d9a1244cd210664586d338d219616d2,IN_WHEEL,spp_maker/qlip_outputs_index.py,Operational Python package source is present in both wheel and sdist.
src/spp_maker/qlip_outputs_packages.py,5b119424cbc1af0ce6a08a4203a0fbcb1eaa1585f6cf4eab23ca119c31898a8d,IN_WHEEL,spp_maker/qlip_outputs_packages.py,Operational Python package source is present in both wheel and sdist.
src/spp_maker/qlip_package.py,4ecdf3df23216e933fe05aa855785ead841414907063495c1c9274875f1077f6,IN_WHEEL,spp_maker/qlip_package.py,Operational Python package source is present in both wheel and sdist.
src/spp_maker/run_orchestrator.py,784553b77ff6d64f338040db4555e24a4d17a9b0bc542902dac35e2f6606a738,IN_WHEEL,spp_maker/run_orchestrator.py,Operational Python package source is present in both wheel and sdist.
