capability,repository,implementation_location,tested_status,evidence,required_change,risk
"Arbitrary integer formula species including Na/Zr/Si/P/O","QLIP","src/qlip/allocation.py: Allocation.__init__; ASE Atoms parsing in src/qlip/core/solve.py","SUPPORTED_NOW","Species and integer counts are derived from an ASE formula without a three-element allowlist.","Use full-cell integer formula after reference selection.","LOW"
"Explicit realistic cell and candidate coordinates","QLIP","src/qlip/core/solve.py: _build_positions","SUPPORTED_NOW","explicit_fractional_sites builds a periodic ASE Atoms object with the declared six lattice parameters.","Provide validated ordered NASICON cell and sites.","MEDIUM"
"Registered prototype/Wyckoff scaffold catalogue","QLIP","src/qlip/core/models.py; src/qlip/core/solve.py","REQUIRES_SMALL_EXTENSION","Production site modes are only uniform_grid and explicit_fractional_sites.","Add ordered site/orbit constraint payload and schema.","MEDIUM"
"Fixed-orbit solving in production QLIP","QLIP","src/qlip/constraints/__init__.py; src/qlip/plugins/registry.py","REQUIRES_SMALL_EXTENSION","SpaceGroupOrbits is an unavailable placeholder and no production plugin registers orbit enforcement.","Implement fixed/allowed site and orbit closure constraints.","MEDIUM"
"Variable-orbit solving in production QLIP","QLIP","src/qlip/allocation.py","REQUIRES_SMALL_EXTENSION","The MIQP contains species/site binaries but no orbit variables or orbit-level allowed-species constraints.","Add orbit assignment variables or symmetry-linked site binaries and multiplicity constraints.","MEDIUM"
"Multiple inequivalent sites","QLIP","src/qlip/core/solve.py: _build_positions","SUPPORTED_WITH_CONFIGURATION","Arbitrary explicit coordinate lists are accepted but inequivalence has no semantic label.","Attach stable site/orbit IDs in request diagnostics.","LOW"
"Exact full-cell stoichiometry","QLIP","src/qlip/allocation.py: m.stoic","SUPPORTED_WITH_CONFIGURATION","Each species count is enforced exactly; reduced formula alone would place only one formula unit.","Pass expanded conventional/primitive-cell integer counts.","MEDIUM"
"Fractional occupancy or occupational disorder","QLIP","src/qlip/allocation.py: binary m.x","REQUIRES_MAJOR_EXTENSION","All assignment variables are binary and there is no fractional occupancy model.","Out of scope for first showcase; select a fully ordered reference.","HIGH"
"All candidate sites fully occupied","QLIP","src/qlip/allocation.py: m.excl","REQUIRES_SMALL_EXTENSION","Exclusivity is <=1 so unused candidate sites are allowed.","For NASICON add full-occupancy equality or make candidate count equal full formula count with fixed/allowed restrictions.","MEDIUM"
"Orbit closure and multiplicity enforcement","QLIP","src/qlip/allocation.py; src/qlip/constraints/__init__.py","REQUIRES_SMALL_EXTENSION","Only species totals and site exclusivity are enforced.","Link all sites in an orbit to a single assignment and validate orbit multiplicities.","HIGH"
"All-image periodic SPP cutoff semantics","QLIP","src/qlip/interactions/spp.py: periodic_spp_sum and pair_cost_matrix; tests/test_spp_periodic.py","SUPPORTED_NOW","Source and focused tests cover boundary, multiple, self and non-cubic images within cutoff.","Run NASICON-cell parity test and record image-term count.","MEDIUM"
"80-site-class NASICON model capacity","QLIP","src/qlip/allocation.py; src/qlip/core/solve.py: _model_stats","SUPPORTED_WITH_CONFIGURATION","Estimated 400 binaries and about 79,000 off-diagonal binary products for 80 sites and five species; no focused runtime measurement exists.","Instrument build/solve memory, time, variables, constraints and image terms.","HIGH"
"CIF cell/species/coordinate preservation","QLIP","src/qlip/core/solve.py: _build_cif_text","SUPPORTED_NOW","ASE writes solved species and fractional coordinates in the declared cell.","Add round-trip test for selected NASICON cell.","LOW"
"CIF symmetry/Wyckoff metadata preservation","QLIP","src/qlip/core/solve.py: _build_cif_text","REQUIRES_SMALL_EXTENSION","CIF writer receives no requested space-group or Wyckoff metadata.","Write/audit symmetry metadata and independently re-analyze output.","MEDIUM"
"Task-to-scaffold selection","Skill-Loop-CSP","src/sok_llm_orchestrator/contracts/qlip_builders_v2.py: SUPPORTED_PROTOTYPE_SCAFFOLDS","REQUIRES_SMALL_EXTENSION","Selection is a fixed family dictionary and NASICON is absent.","Register selected NASICON scaffold after reference audit.","MEDIUM"
"Fixed-orbit paper mode","Skill-Loop-CSP","src/sok_llm_orchestrator/structures/prototype_scaffold.py; experiments/paper_workflow.py","SUPPORTED_WITH_CONFIGURATION","It expands and writes predefined coordinates but bypasses production QLIP solve.","Reclassify existing behavior as reconstruction; route NASICON through real QLIP.","HIGH"
"Variable-orbit paper mode","Skill-Loop-CSP","src/sok_llm_orchestrator/structures/prototype_scaffold.py: _variable_orbit_payload","SUPPORTED_WITH_CONFIGURATION","A formula allowlist and enumeration-backed selector operate for limited families; NASICON is absent and backend is not QLIP MIQP.","Add real orbit-restricted QLIP request/solve; do not reuse the label misleadingly.","HIGH"
"Configurable specialist corpus selection","Skill-Loop-CSP","experiments CSV source_db_scope; src/sok_llm_orchestrator/experiments/paper_workflow.py","REQUIRES_SMALL_EXTENSION","Specialist halide selection is a paper-runner path convention rather than a general stable corpus registry.","Add corpus ID mapping in configuration and structured task fields.","MEDIUM"
"Export-ready CIF staging","Skill-Loop-CSP","src/sok_llm_orchestrator/orchestrator/pipeline.py: stage_export_ready_cifs path","SUPPORTED_NOW","Main pipeline stages selected exportable CIFs and blocks when staged_count is zero.","Reuse unchanged for NASICON.","LOW"
"Required self and cross SPP pair derivation","Skill-Loop-CSP","src/spp_maker_qlip/qlip_package.py: required_pairs_from_formula","SUPPORTED_NOW","All combinations_with_replacement pairs are derived from formula elements.","Use this production helper rather than paper_workflow cross-only helper.","LOW"
"Strict missing-pair block","Skill-Loop-CSP","src/spp_maker_qlip/qlip_package.py","SUPPORTED_NOW","Package validation reports pot_pair_coverage_missing and blocks incomplete roots.","Keep strict mode for showcase.","LOW"
"Row-specific plus universal SPP combination","QLIP / Skill-Loop-CSP","src/qlip/interactions/spp.py; src/sok_llm_orchestrator/orchestrator/pipeline.py","SUPPORTED_WITH_CONFIGURATION","QLIP loads local POTs and optional weighted regularisation POTs; provenance is separately recorded.","Freeze roots and weights and report calibration scope.","MEDIUM"
"Paper runner actually builds SPPs","Skill-Loop-CSP","src/sok_llm_orchestrator/experiments/paper_workflow.py: _run_row","REQUIRES_SMALL_EXTENSION","Runner writes a ready summary and empty missing list without executing SPP construction.","Use main orchestrator SPP run/package path.","HIGH"
"Crystallographic validation","Skill-Loop-CSP","src/sok_llm_orchestrator/experiments/paper_workflow.py: _validate_cif","SUPPORTED_NOW","Checks parse, reduced formula, pymatgen symmetry and <0.75 A contacts.","Parameterize thresholds and add duplicate-coordinate/objective parity checks.","MEDIUM"
"Topology validator registry","Skill-Loop-CSP","src/sok_llm_orchestrator/verification/presets.py","REQUIRES_SMALL_EXTENSION","Verification presets are fixed check lists and no topology plugin registry exists.","Add NASICON validator interface, structured result and fixtures.","MEDIUM"
"VESTA workflow rendering","Skill-Loop-CSP","src/sok_llm_orchestrator/agentic/visualise_workflow_artifact.py; scripts/render_paper_cifs_with_vesta.py","SUPPORTED_WITH_CONFIGURATION","Existing workflow can render CIF panels when VESTA is available.","Add reproducible NASICON polyhedral/channel scene configuration.","MEDIUM"
"Polyhedral NASICON hero render","Skill-Loop-CSP","No current NASICON-specific implementation found after targeted search","REQUIRES_SMALL_EXTENSION","Current generic structure rendering does not encode differentiated ZrO6/SiO4/PO4 polyhedra or Na channels.","Implement VESTA scene/template and visual QA.","MEDIUM"
"Materials Project acquisition","Crystal-DB","scripts/build_crystaldb_corpus.py: acquire_materials_project and build_mp_queries","SUPPORTED_NOW","Uses mp_api MPRester and an available API key; avoids web scraping.","Add frozen NASICON query recipe.","LOW"
"Policy/provenance-controlled ingestion","Crystal-DB","crystal_db/ingest_folder.py; crystal_db/db.py","SUPPORTED_NOW","Stores source/source_id/retrieval time and explicit CIF/export/derivative policy flags.","Add source version and retrieval-query fields to frozen manifest.","LOW"
"Named specialist corpus build","Crystal-DB","scripts/build_crystaldb_corpus.py --dataset-id","SUPPORTED_NOW","Dataset ID, output DB/root and family label are configurable.","Use nasicon_specialist_v1 and leave-target-out ID.","LOW"
"Topology tier and assignment evidence","Crystal-DB","scripts/build_crystaldb_corpus.py MANIFEST_FIELDS; crystal_db/db.py metadata","REQUIRES_SMALL_EXTENSION","No topology_tier or family_assignment_method is stored canonically.","Extend manifest/schema without conflating Tier 1 and Tier 2.","HIGH"
"CrystalCard/fingerprint/text/embedding/sequence production representations","Crystal-DB","crystal_db/crystalcard.py; fingerprint.py; text_index.py; embeddings.py; sequence_index.py","SUPPORTED_WITH_CONFIGURATION","Builder can execute all production backends; LM Studio embeddings may be unavailable at run time and must not silently fall back.","Run and report actual backend counts/status.","MEDIUM"
"Text/formula/chemical-system/fingerprint hybrid retrieval","Crystal-DB","crystal_db/retrieval.py; crystal_db/csp_pack.py","SUPPORTED_NOW","Text search, filters, structural similarity and hybrid reranking exist.","Add explicit family/topology filters or evidence reranking.","MEDIUM"
