experiment_id,row_id,input_text,target_formula,target_reduced_formula,target_family,target_space_group_symbol,target_space_group_number,target_crystal_system,expected_mode,expected_validation_tier,source_db_scope,retrieval_query_hint,spp_required,qlip_scaffold_hint,should_generate,expected_blocker_if_any,paper_task,notes
paper_experiment_1_common_v1,exp1_nio_rocksalt,Generate a rocksalt nickel oxide structure using retrieved oxide evidence.,NiO,NiO,rocksalt,Fm-3m,225,cubic,prototype_orbit_variable_spp_qlip,variable_spp_scored,general_phase6_mp_10k,rocksalt nickel oxide NiO oxide evidence,true,rocksalt,true,,Experiment 1 common prototype family,Supported V3B variable SPP scored target.
paper_experiment_1_common_v1,exp1_tin_rocksalt,Generate a rocksalt titanium nitride candidate using Crystal-DB nitride evidence.,TiN,TiN,nitride,Fm-3m,225,cubic,prototype_orbit_variable_spp_qlip,variable_spp_scored,general_phase6_mp_10k,rocksalt titanium nitride TiN nitride evidence,true,rocksalt,true,,Experiment 1 common prototype family,Supported V3B variable SPP scored target.
paper_experiment_1_common_v1,exp1_mgo_rocksalt,Generate a rocksalt magnesium oxide structure from retrieved oxide analogues.,MgO,MgO,rocksalt,Fm-3m,225,cubic,prototype_orbit_variable_spp_qlip,variable_spp_scored,general_phase6_mp_10k,rocksalt magnesium oxide MgO oxide evidence,true,rocksalt,true,,Experiment 1 common prototype family,Supported V3B variable SPP scored target.
paper_experiment_1_common_v1,exp1_ceo2_fluorite,Generate a fluorite cerium dioxide candidate using Crystal-DB evidence.,CeO2,CeO2,fluorite,Fm-3m,225,cubic,prototype_orbit_variable_spp_qlip,variable_spp_scored,general_phase6_mp_10k,fluorite cerium dioxide CeO2 oxide evidence,true,fluorite,true,,Experiment 1 common prototype family,Supported V3B variable SPP scored target.
paper_experiment_1_common_v1,exp1_zro2_fluorite,Generate a fluorite zirconium dioxide candidate using retrieved oxide evidence.,ZrO2,ZrO2,fluorite,Fm-3m,225,cubic,prototype_orbit_variable_spp_qlip,variable_spp_scored,general_phase6_mp_10k,fluorite zirconium dioxide ZrO2 oxide evidence,true,fluorite,true,,Experiment 1 common prototype family,Supported V3B variable SPP scored target.
paper_experiment_1_common_v1,exp1_tho2_fluorite,Generate a fluorite thorium dioxide candidate using retrieved oxide evidence.,ThO2,ThO2,fluorite,Fm-3m,225,cubic,prototype_orbit_variable_spp_qlip,variable_spp_scored,general_phase6_mp_10k,fluorite thorium dioxide ThO2 oxide evidence,true,fluorite,true,,Experiment 1 common prototype family,Supported V3B variable SPP scored target.
paper_experiment_1_common_v1,exp1_znfe2o4_spinel,Generate a spinel zinc ferrite candidate with formula ZnFe2O4.,ZnFe2O4,ZnFe2O4,spinel,Fd-3m,227,cubic,prototype_orbit_qlip,fixed_orbit_spp_smoke,general_phase6_mp_10k,spinel zinc ferrite ZnFe2O4 oxide evidence,true,spinel,true,,Experiment 1 common prototype family,Supported V3B fixed orbit target.
paper_experiment_1_common_v1,exp1_mgal2o4_spinel,Generate a spinel magnesium aluminate candidate using retrieved oxide evidence.,MgAl2O4,MgAl2O4,spinel,Fd-3m,227,cubic,prototype_orbit_qlip,fixed_orbit_spp_smoke,general_phase6_mp_10k,spinel magnesium aluminate MgAl2O4 oxide evidence,true,spinel,true,,Experiment 1 common prototype family,Supported V3B fixed orbit target.
paper_experiment_1_common_v1,exp1_cofe2o4_spinel,Generate a spinel cobalt ferrite candidate using retrieved ferrite evidence.,CoFe2O4,CoFe2O4,spinel,Fd-3m,227,cubic,prototype_orbit_qlip,fixed_orbit_spp_smoke,general_phase6_mp_10k,spinel cobalt ferrite CoFe2O4 oxide evidence,true,spinel,true,,Experiment 1 common prototype family,Supported V3B fixed orbit target.
paper_experiment_1_common_v1,exp1_batio3_perovskite,Generate a barium titanate perovskite candidate using retrieved titanate evidence.,BaTiO3,BaTiO3,perovskite,Pm-3m,221,cubic,prototype_orbit_variable_spp_qlip,variable_spp_scored,general_phase6_mp_10k,barium titanate BaTiO3 perovskite oxide evidence,true,perovskite,true,,Experiment 1 common prototype family,Supported scaffold family used as common perovskite control.
