experiment_id,row_id,input_text,target_formula,target_reduced_formula,target_family,target_space_group_symbol,target_space_group_number,target_crystal_system,expected_mode,expected_validation_tier,source_db_scope,retrieval_query_hint,spp_required,qlip_scaffold_hint,should_generate,expected_blocker_if_any,paper_task,notes
paper_experiment_3_specialist_halide_v1,exp3_cspbbr3_cubic,Generate a cubic halide perovskite candidate for CsPbBr3 using specialist halide evidence.,CsPbBr3,CsPbBr3,halide perovskite,Pm-3m,221,cubic,prototype_orbit_variable_spp_qlip,variable_spp_scored,paper_experiment_3_halide_perovskite_v1,CsPbBr3 cubic halide perovskite specialist evidence,true,cubic_halide_perovskite_abx3_pm3m,true,,experiment_3_specialist_corpus_transfer,specialist_corpus_used=paper_experiment_3_halide_perovskite_v1; prototype_constraint_mode=ideal_cubic_abx3; source_faithful_symmetry=false; paper_claim_class=specialist_corpus_transfer
paper_experiment_3_specialist_halide_v1,exp3_cspbbr3_pair_guided,Generate an ideal ABX3 CsPbBr3 prototype using retrieved Pb-Br and Cs-Br pair evidence from the specialist corpus.,CsPbBr3,CsPbBr3,halide perovskite,Pm-3m,221,cubic,prototype_orbit_variable_spp_qlip,variable_spp_scored,paper_experiment_3_halide_perovskite_v1,CsPbBr3 Pb-Br Cs-Br ABX3 halide perovskite evidence,true,cubic_halide_perovskite_abx3_pm3m,true,,experiment_3_specialist_corpus_transfer,specialist_corpus_used=paper_experiment_3_halide_perovskite_v1; prototype_constraint_mode=ideal_cubic_abx3; source_faithful_symmetry=false; repeated formula with pair-guided query intent
paper_experiment_3_specialist_halide_v1,exp3_cspbcl3_cubic,Generate a cubic chloride halide perovskite candidate for CsPbCl3 using specialist chloride evidence.,CsPbCl3,CsPbCl3,halide perovskite,Pm-3m,221,cubic,prototype_orbit_variable_spp_qlip,variable_spp_scored,paper_experiment_3_halide_perovskite_v1,CsPbCl3 cubic chloride halide perovskite specialist evidence,true,cubic_halide_perovskite_abx3_pm3m,true,,experiment_3_specialist_corpus_transfer,specialist_corpus_used=paper_experiment_3_halide_perovskite_v1; prototype_constraint_mode=ideal_cubic_abx3; source_faithful_symmetry=false
paper_experiment_3_specialist_halide_v1,exp3_cspbcl3_pair_guided,Generate an ideal ABX3 CsPbCl3 prototype using retrieved Pb-Cl and Cs-Cl evidence from the specialist corpus.,CsPbCl3,CsPbCl3,halide perovskite,Pm-3m,221,cubic,prototype_orbit_variable_spp_qlip,variable_spp_scored,paper_experiment_3_halide_perovskite_v1,CsPbCl3 Pb-Cl Cs-Cl ABX3 halide perovskite evidence,true,cubic_halide_perovskite_abx3_pm3m,true,,experiment_3_specialist_corpus_transfer,specialist_corpus_used=paper_experiment_3_halide_perovskite_v1; prototype_constraint_mode=ideal_cubic_abx3; source_faithful_symmetry=false; repeated formula with pair-guided query intent
paper_experiment_3_specialist_halide_v1,exp3_cspbi3_cubic,Generate a prototype-constrained cubic CsPbI3 candidate from specialist iodide-perovskite retrieval evidence.,CsPbI3,CsPbI3,halide perovskite,Pm-3m,221,cubic,prototype_orbit_variable_spp_qlip,variable_spp_scored,paper_experiment_3_halide_perovskite_v1,CsPbI3 cubic iodide halide perovskite specialist evidence,true,cubic_halide_perovskite_abx3_pm3m,true,,experiment_3_specialist_corpus_transfer,specialist_corpus_used=paper_experiment_3_halide_perovskite_v1; prototype_constraint_mode=ideal_cubic_abx3; source_faithful_symmetry=false
paper_experiment_3_specialist_halide_v1,exp3_cspbi3_pair_guided,Generate an ideal ABX3 CsPbI3 prototype using retrieved Pb-I and Cs-I pair evidence from the specialist corpus.,CsPbI3,CsPbI3,halide perovskite,Pm-3m,221,cubic,prototype_orbit_variable_spp_qlip,variable_spp_scored,paper_experiment_3_halide_perovskite_v1,CsPbI3 Pb-I Cs-I ABX3 halide perovskite evidence,true,cubic_halide_perovskite_abx3_pm3m,true,,experiment_3_specialist_corpus_transfer,specialist_corpus_used=paper_experiment_3_halide_perovskite_v1; prototype_constraint_mode=ideal_cubic_abx3; source_faithful_symmetry=false; repeated formula with pair-guided query intent
paper_experiment_3_specialist_halide_v1,exp3_cssnbr3_cubic,Generate an ideal ABX3 tin bromide halide perovskite candidate with formula CsSnBr3.,CsSnBr3,CsSnBr3,halide perovskite,Pm-3m,221,cubic,prototype_orbit_variable_spp_qlip,variable_spp_scored,paper_experiment_3_halide_perovskite_v1,CsSnBr3 cubic tin bromide halide perovskite specialist evidence,true,cubic_halide_perovskite_abx3_pm3m,true,,experiment_3_specialist_corpus_transfer,specialist_corpus_used=paper_experiment_3_halide_perovskite_v1; prototype_constraint_mode=ideal_cubic_abx3; source_faithful_symmetry=false
paper_experiment_3_specialist_halide_v1,exp3_cssnbr3_pair_guided,Generate a CsSnBr3 prototype using specialist Sn-Br and Cs-Br retrieval evidence as SPP guidance.,CsSnBr3,CsSnBr3,halide perovskite,Pm-3m,221,cubic,prototype_orbit_variable_spp_qlip,variable_spp_scored,paper_experiment_3_halide_perovskite_v1,CsSnBr3 Sn-Br Cs-Br ABX3 halide perovskite evidence,true,cubic_halide_perovskite_abx3_pm3m,true,,experiment_3_specialist_corpus_transfer,specialist_corpus_used=paper_experiment_3_halide_perovskite_v1; prototype_constraint_mode=ideal_cubic_abx3; source_faithful_symmetry=false; repeated formula with pair-guided query intent
paper_experiment_3_specialist_halide_v1,exp3_cssni3_cubic,Generate an ideal ABX3 tin iodide halide perovskite candidate with formula CsSnI3.,CsSnI3,CsSnI3,halide perovskite,Pm-3m,221,cubic,prototype_orbit_variable_spp_qlip,variable_spp_scored,paper_experiment_3_halide_perovskite_v1,CsSnI3 cubic tin iodide halide perovskite specialist evidence,true,cubic_halide_perovskite_abx3_pm3m,true,,experiment_3_specialist_corpus_transfer,specialist_corpus_used=paper_experiment_3_halide_perovskite_v1; prototype_constraint_mode=ideal_cubic_abx3; source_faithful_symmetry=false
paper_experiment_3_specialist_halide_v1,exp3_cssni3_pair_guided,Generate a CsSnI3 prototype using specialist Sn-I and Cs-I retrieval evidence as SPP guidance.,CsSnI3,CsSnI3,halide perovskite,Pm-3m,221,cubic,prototype_orbit_variable_spp_qlip,variable_spp_scored,paper_experiment_3_halide_perovskite_v1,CsSnI3 Sn-I Cs-I ABX3 halide perovskite evidence,true,cubic_halide_perovskite_abx3_pm3m,true,,experiment_3_specialist_corpus_transfer,specialist_corpus_used=paper_experiment_3_halide_perovskite_v1; prototype_constraint_mode=ideal_cubic_abx3; source_faithful_symmetry=false; repeated formula with pair-guided query intent
