source_path,type,size,SHA256,tracked_or_local,runtime_role,required_for_default_workflow,recreatable,provenance_status,redistribution_status,recommended_archive_path
C:\Users\brown\Documents\GitHub\Crystal-DB\data\_bench_tmp.cif,BENCHMARK_CASES_OR_FIXTURE,219,f2f5a764fbb5bc96341709158ceb4c37797a9c461e23dc1ed533633d91b80d33,tracked,"specialist database, benchmark cases, or transient fixture; single file",no_or_workflow_specific,source_dependent,REQUIRES_TICKET_25_REVIEW,PENDING_TICKET_25,data/crystal_db/_bench_tmp.cif
C:\Users\brown\Documents\GitHub\Crystal-DB\data\bench_200_labeled,GENERATED_INDEX_OR_OUTPUT,225801,199e6448290ac1961dfd3728bbf4db08c057844e41bac635e8b4eb1c8431259b,local_ignored_or_untracked,"generated cache, calibration, benchmark, or specialist corpus; directory tree: 3 files",no_or_workflow_specific,yes_from_database_or_acquisition,REQUIRES_TICKET_25_REVIEW,PENDING_TICKET_25,data/crystal_db/bench_200_labeled
C:\Users\brown\Documents\GitHub\Crystal-DB\data\bench_200_labeled_smoke,GENERATED_INDEX_OR_OUTPUT,57031,9dfa22b297ca4ae5f5785e065fe488ffad3a6ba52c76d04ea2d7432f05c6023d,local_ignored_or_untracked,"generated cache, calibration, benchmark, or specialist corpus; directory tree: 3 files",no_or_workflow_specific,yes_from_database_or_acquisition,REQUIRES_TICKET_25_REVIEW,PENDING_TICKET_25,data/crystal_db/bench_200_labeled_smoke
C:\Users\brown\Documents\GitHub\Crystal-DB\data\bench_200_smoke,GENERATED_INDEX_OR_OUTPUT,225474,5fa15f10989387ccc8b9fe78fd767d98e07499fd30fdcd000ad2b31863e89db9,local_ignored_or_untracked,"generated cache, calibration, benchmark, or specialist corpus; directory tree: 3 files",no_or_workflow_specific,yes_from_database_or_acquisition,REQUIRES_TICKET_25_REVIEW,PENDING_TICKET_25,data/crystal_db/bench_200_smoke
C:\Users\brown\Documents\GitHub\Crystal-DB\data\bench_labeled_smoke,GENERATED_INDEX_OR_OUTPUT,57019,3de969ceabcf0b891ce32e9d27b25eb5bbd3b956cf8702fc02326da21cb24c20,local_ignored_or_untracked,"generated cache, calibration, benchmark, or specialist corpus; directory tree: 3 files",no_or_workflow_specific,yes_from_database_or_acquisition,REQUIRES_TICKET_25_REVIEW,PENDING_TICKET_25,data/crystal_db/bench_labeled_smoke
C:\Users\brown\Documents\GitHub\Crystal-DB\data\bench_one_case,GENERATED_INDEX_OR_OUTPUT,1917,c2f36d888a7fb4ad26219b323f657623ef88dfbb951b4cb181b7431310da65ac,local_ignored_or_untracked,"generated cache, calibration, benchmark, or specialist corpus; directory tree: 3 files",no_or_workflow_specific,yes_from_database_or_acquisition,REQUIRES_TICKET_25_REVIEW,PENDING_TICKET_25,data/crystal_db/bench_one_case
C:\Users\brown\Documents\GitHub\Crystal-DB\data\bench_one_case_textonly,GENERATED_INDEX_OR_OUTPUT,1928,8b2f62f5f55d2fe7c529aca54457d6b8167c5d2f9817e3590305b3e1c600403c,local_ignored_or_untracked,"generated cache, calibration, benchmark, or specialist corpus; directory tree: 3 files",no_or_workflow_specific,yes_from_database_or_acquisition,REQUIRES_TICKET_25_REVIEW,PENDING_TICKET_25,data/crystal_db/bench_one_case_textonly
C:\Users\brown\Documents\GitHub\Crystal-DB\data\bench_phase3.db,RUNTIME_DATABASE,290816,6348be748e2e8dbd1faa4d580bf04e5ed528da89793c74de6aae596ddce8d4b5,local_ignored_or_untracked,"specialist database, benchmark cases, or transient fixture; single file",no_or_workflow_specific,yes_from_source_corpus,REQUIRES_TICKET_25_REVIEW,PENDING_TICKET_25,data/crystal_db/bench_phase3.db
C:\Users\brown\Documents\GitHub\Crystal-DB\data\cache_mp_10k,GENERATED_INDEX_OR_OUTPUT,20346538,8ab78cce4c33e92886376ab4ecdc5bac767d641efff01a58639da931a9cfc6c9,local_ignored_or_untracked,"generated cache, calibration, benchmark, or specialist corpus; directory tree: 10000 files",no_or_workflow_specific,yes_from_database_or_acquisition,REQUIRES_TICKET_25_REVIEW,PENDING_TICKET_25,data/crystal_db/cache_mp_10k
C:\Users\brown\Documents\GitHub\Crystal-DB\data\calibration_out_smoke,GENERATED_INDEX_OR_OUTPUT,115712,0e6b9999c5bea1dc8040513136d31870698988ae3cf528b8df3921027bd7ee18,local_ignored_or_untracked,"generated cache, calibration, benchmark, or specialist corpus; directory tree: 4 files",no_or_workflow_specific,yes_from_database_or_acquisition,REQUIRES_TICKET_25_REVIEW,PENDING_TICKET_25,data/crystal_db/calibration_out_smoke
